guid	1	smth	"Please enable removing language code from the Dev Center ""language history"" For example if you ever selected ""ru"" and ""ru-ru"" laguages and you published this xap to the Store then it causes Tile localization to show the en-us(default) tile localization which is bad."
guid	0	smth	"Note: in your .csproj file, there is a SupportedCultures entry like this: <SupportedCultures>de-DE;ru;ru-RU </SupportedCultures> When I removed the ""ru"" language code and published my new xap version, the old xap version still remains in the Store with ""Replaced and unpublished""."
guid	0	smth	Wich means the new version not fully replaced the old version and this causes me very serious problems: 1.
guid	0	smth	Some of my users will still receive the old xap version of my app.
guid	0	smth	The store randomly gives the old xap or the new xap version of my app.
guid	0	smth	My app has a WP7 version and a WP8 version XAP in the same submission.
guid	0	smth	The wp7 xap works only on WP7 and the wp8 xap works only for WP8.
guid	0	smth	Sometimes the Store gives the wrong wp7 xap version of my app to Windows Phone 8 users.
guid	1	smth	"It should be an option to remove the ""ru"" language code from my app 'language History' or an option to completly replace: Fully replace the prevoius(es) xap(s)."
guid	0	smth	"Currently if you ever mistakenly selected a ""ru"" language than you will be in a very bad situation forever: - You can live with the wrong Tile displayed for Russian language in the Store (the english one) or - You can publish an update with the removed ""ru"" language, but this update will not ""fully replace"" the old version and you will in truble: 1.)"
guid	0	smth	): the store will randomly deliver the old/wrong version of your xap.
guid	0	smth	I write a lot support ticket on this, but no one really cares on this issue.
guid	1	smth	"Provide a workaround for removing the ""ru"" language from the language history (I have no need for ""ru"" culture just for ""ru-ru"", but there is no way to remove ""ru"" from the language history if you ever posted your app with ""ru"" language support) 2."
guid	1	smth	"Or add and implement an AppResLib.dll.xxxx.mui for the ""ru"" language culture In the documentation AppResLib.dll.xxxx.mui exist only for ""ru-ru"" and not for ""ru"" culture: http://msdn.microsoft.com/en-us/library/windowsphone/develop/ff967550(v=vs.105).aspx Thanks, Tom Please enable removing language code from the Dev Center ""language history"" For example if you ever selected ""ru"" and ""ru-ru"" laguages and you published this xap to the Store then it causes Tile localization to show the en-us(default) tile localization which is bad."
guid	0	smth	When I driving my car and need to make call at 99% of times the phone use vocal commands for starting bing search instead of call contact.
guid	0	smth	"But if I press power button and unlock device and open phone and say ""call <person name, device start calling correctly!"
guid	0	smth	This in driving mode activated.
guid	0	smth	"Also in italian translation, after reading sms, the device say ""fatto"" for ending operation but work only if I say ""ho finito""."
guid	0	smth	"If I say ""fatto"" vocal command unrecognized!"
guid	0	smth	Other little bugs: with my lumia 820 before first WP8 upgrade work fine with vocal commands but from first upgrade to now is bad.
guid	0	smth	Don't recognize commands.
guid	0	smth	But my old wp7 work fine using same bt sony car stereo!
guid	0	smth	Other little bugs: with my lumia 820 before first WP8 upgrade work fine with vocal commands but from___ more
guid	0	smth	Outlook color schemes.
guid	0	smth	Settings, current live tile Size , and More
guid	0	smth	Open the network + settings and tap on call settings.
guid	0	smth	Hit the power button to go to sleep mode.
guid	0	smth	Wait for 15-20 minutes and switch on the mobile again.
guid	0	smth	The window will be blank with only heading on it.
guid	0	smth	100% reproducible on Lumia 920 cyan update.
guid	1	smth	I always use this feature, please fix ASAP.
guid	0	smth	Seems there is an issue with the sd card in WP 8.1 Preview.
guid	1	smth	Its getting annoying.Please fix this.
guid	0	smth	I've been working on an LOB for my field of engineering (civil/structural).
guid	0	smth	The point is to make the app universal across devices so that our engineers do not have to spend too much time learning and relearning the controls.
guid	0	smth	And because the same app runs on tablets and PC's, our engineers can work in the field, come back to their office, and continue working with the same data on their PC's.
guid	0	smth	Because of windows 8.1 and windows phone 8.1 universal app, I am hoping to adapt the app to windows phone as well.
guid	0	smth	But I've found that windows phone 8.1 file picker does not have access to onedrive and there is no futureaccesslist.
guid	0	smth	This aspect alone prevents any adaptation of my app to the windows phone platform.
guid	1	smth	Please allow windows phone 8.1 file/folder picker to have access to onedrive and store the location in futureaccesslist.
guid	1	smth	Also, please allow onedrive folder to be stored locally like winrt.
guid	0	smth	Otherwise, it's not a real universal app.
guid	0	smth	All the saved and live data are___ more
guid	0	smth	So far i have tried three different apps and I cannot access my pre windows phone 8.1 photos.
guid	1	smth	This needs fixing as a number 1 priority.
guid	1	smth	It would be nice to give developers the option put a payment on hold when they reach the appropriate threshold and have the option to put it on top of the next due payment when they reach the threshold after that.
guid	0	smth	in wp8.1 dev preview theres a bug with the push service.
guid	0	smth	when i__m on mobile data connection, i get all my notifications, when i__m on wifi there is no connection to the push server.
guid	0	smth	no i found a workaround for myself, when i turn off the mobile data connection manually the push over wifi works.
guid	0	smth	but on wp 8.0 gdr 3, the system recognized automaticly wich connection i__m using and turn the push service automaticly on cellular or on wifi.
guid	0	smth	everytime it works, with wp 8.1 dev preview it doesn__t.
guid	0	smth	When I try to insert a new Bank Account I receive an error because there is a validation that the Bank Account should be in the same Country of my account.
guid	0	smth	I think this is not correct, because using Paypal I can receive money in another country but I don't want pay extra costs for Paypal and also i can insert my tax plan in a country different of my country in my account.
guid	1	smth	Please remove that validation or validate according with my tax plan and not my country in the account.
guid	0	smth	: there is another post that I voted because I can't change the country in my account.
guid	0	smth	I did a report on in app purchases today and noticed that every line item shows an app version of 1.0.0 - which most certainly is not the case.
guid	0	smth	Make Bing Vision lens in the camera app pinnable to Start for quick access again and/or add it to the Cortana screen, to the left of the Music Search button perhaps.
guid	0	smth	In Windows Phone 8 we were able directly access facebook through the people hub.
guid	0	smth	Comment on photos, write on walls without having to enter the facebook app.
guid	0	smth	We were also able to switch between text messages and Facebook messages on the fly.
guid	0	smth	Now with WIndows Phone 8.1 the app ALWAYS has to open.
guid	0	smth	On my Lumia 920 it takes significantly longer to do that now.
guid	0	smth	IT'S SLOW!!!!
guid	1	smth	Please bring back the simplicity and efficiency of Windows Phone!
guid	1	smth	While I was building a web application, I've noticed that single page applications with this url: http://www.contoso.com/!#/ will display blank page and only a refresh will load the page again can you please check that?
guid	1	smth	It would be great if you would add a RemoteId to the calendars.
guid	0	smth	appointments have a RemoteId but calendars don't.
guid	0	smth	It would be easier to sync calendars if they have a RemoteId like appointments.
guid	0	smth	When the application is unpublished by Microsoft, the reason in sent by email.
guid	0	smth	When the email is not received (like in my case) the developer doesn't know the reason.
guid	0	smth	However this can be easily fixed by writing it in Dev Center.
guid	0	smth	In WinRT, the TileBrush class is missing the TileMode and View* properties that are present in other frameworks like WPF and Silverlight.
guid	1	smth	Please add these properties so that we can support image tiling properly.
guid	0	smth	There are tons of requests for this over the past years.
guid	0	smth	See this thread for an example: http://social.msdn.microsoft.com/Forums/windowsapps/en-US/bb5aa859-e3d1-46f2-a661-d4bdbee9a1f2/windowsuixamlmediaimagebrush?forum=winappswithcsharp
guid	1	smth	The Lockscreen text attribute should be separated out from Tile attributes.
guid	0	smth	To provide lockscreen text its necessary to use the WideBackContent attribute on the Flip tile.
guid	0	smth	But - if you have generated a custom tile and/or you don't want the tile to flip, then you cannot use the lockscreen text feature.
guid	0	smth	I'm trying to use the API for Contacts in the namespace Windows.ApplicationModel.Contacts, but it doesn't work as expected.
guid	0	smth	First of all, on Windows Phone 8.1 I always get an IOException when trying to call PickContactAsync().
guid	0	smth	This is very strange, since I was expecting to see at least Contacts app to be launched, seems there's some problem establishing the contract.
guid	0	smth	I also checked the Contacts permission was enabled on the Package.appxmanifest.
guid	0	smth	On Windows 8.1 / RT 8.1 che call to the PickContactAsync() works but I receive wrong data instaed, for example: FirstName and LastName are both in FirstName (and LastName is empty), the ImportantDates (e.g.
